date_key,full_date,day,month,month_name,quarter,year,week_of_year,day_of_week,is_weekend
307,03-11-2021,3,11,November,4,2021,44,Wednesday,FALSE
308,04-11-2021,4,11,November,4,2021,44,Thursday,FALSE
309,05-11-2021,5,11,November,4,2021,44,Friday,FALSE
310,06-11-2021,6,11,November,4,2021,44,Saturday,TRUE
311,07-11-2021,7,11,November,4,2021,44,Sunday,TRUE
312,08-11-2021,8,11,November,4,2021,45,Monday,FALSE
313,09-11-2021,9,11,November,4,2021,45,Tuesday,FALSE
314,10-11-2021,10,11,November,4,2021,45,Wednesday,FALSE
315,11-11-2021,11,11,November,4,2021,45,Thursday,FALSE
316,12-11-2021,12,11,November,4,2021,45,Friday,FALSE
317,13-11-2021,13,11,November,4,2021,45,Saturday,TRUE
318,14-11-2021,14,11,November,4,2021,45,Sunday,TRUE
319,15-11-2021,15,11,November,4,2021,46,Monday,FALSE
320,16-11-2021,16,11,November,4,2021,46,Tuesday,FALSE
321,17-11-2021,17,11,November,4,2021,46,Wednesday,FALSE
322,18-11-2021,18,11,November,4,2021,46,Thursday,FALSE
323,19-11-2021,19,11,November,4,2021,46,Friday,FALSE
324,20-11-2021,20,11,November,4,2021,46,Saturday,TRUE
325,21-11-2021,21,11,November,4,2021,46,Sunday,TRUE
326,22-11-2021,22,11,November,4,2021,47,Monday,FALSE
327,23-11-2021,23,11,November,4,2021,47,Tuesday,FALSE
328,24-11-2021,24,11,November,4,2021,47,Wednesday,FALSE
329,25-11-2021,25,11,November,4,2021,47,Thursday,FALSE
330,26-11-2021,26,11,November,4,2021,47,Friday,FALSE
331,27-11-2021,27,11,November,4,2021,47,Saturday,TRUE
332,28-11-2021,28,11,November,4,2021,47,Sunday,TRUE
333,29-11-2021,29,11,November,4,2021,48,Monday,FALSE
334,30-11-2021,30,11,November,4,2021,48,Tuesday,FALSE
335,01-12-2021,1,12,December,4,2021,48,Wednesday,FALSE
336,02-12-2021,2,12,December,4,2021,48,Thursday,FALSE
337,03-12-2021,3,12,December,4,2021,48,Friday,FALSE
338,04-12-2021,4,12,December,4,2021,48,Saturday,TRUE
339,05-12-2021,5,12,December,4,2021,48,Sunday,TRUE
340,06-12-2021,6,12,December,4,2021,49,Monday,FALSE
341,07-12-2021,7,12,December,4,2021,49,Tuesday,FALSE
342,08-12-2021,8,12,December,4,2021,49,Wednesday,FALSE
343,09-12-2021,9,12,December,4,2021,49,Thursday,FALSE
344,10-12-2021,10,12,December,4,2021,49,Friday,FALSE
345,11-12-2021,11,12,December,4,2021,49,Saturday,TRUE
346,12-12-2021,12,12,December,4,2021,49,Sunday,TRUE
347,13-12-2021,13,12,December,4,2021,50,Monday,FALSE
348,14-12-2021,14,12,December,4,2021,50,Tuesday,FALSE
349,15-12-2021,15,12,December,4,2021,50,Wednesday,FALSE
350,16-12-2021,16,12,December,4,2021,50,Thursday,FALSE
351,17-12-2021,17,12,December,4,2021,50,Friday,FALSE
352,18-12-2021,18,12,December,4,2021,50,Saturday,TRUE
